entry_id,field4,field5,field1,field2,field3,loc,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14
14,24.00,31.00,3.00,19.00,14.00,'$GNGGA,000327.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
15,21.00,32.00,9.00,17.00,15.00,'$GNGGA,000338.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5B'
16,23.00,32.00,5.00,17.00,16.00,'$GNGGA,000349.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D'
17,20.00,31.00,8.00,18.00,17.00,'$GNGGA,000400.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
18,22.00,30.00,7.00,13.00,18.00,'$GNGGA,000411.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
19,22.00,30.00,6.00,18.00,19.00,'$GNGGA,000422.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
20,20.00,33.00,7.00,15.00,20.00,'$GNGGA,000433.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
21,21.00,32.00,6.00,16.00,21.00,'$GNGGA,000444.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
22,24.00,32.00,4.00,10.00,22.00,'$GNGGA,000455.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
23,21.00,34.00,5.00,12.00,23.00,'$GNGGA,000506.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
24,24.00,32.00,6.00,14.00,24.00,'$GNGGA,000517.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
25,21.00,33.00,3.00,19.00,25.00,'$GNGGA,000528.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5C'
26,23.00,31.00,9.00,12.00,26.00,'$GNGGA,000539.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5C'
27,22.00,31.00,9.00,15.00,27.00,'$GNGGA,000550.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
28,24.00,33.00,4.00,12.00,28.00,'$GNGGA,000601.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
29,20.00,31.00,9.00,19.00,29.00,'$GNGGA,000612.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
30,23.00,34.00,4.00,19.00,30.00,'$GNGGA,000623.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
31,21.00,34.00,9.00,17.00,31.00,'$GNGGA,000634.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
32,21.00,30.00,3.00,10.00,32.00,'$GNGGA,000645.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
33,23.00,34.00,6.00,16.00,33.00,'$GNGGA,000656.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
34,20.00,32.00,4.00,15.00,34.00,'$GNGGA,000707.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
35,20.00,32.00,5.00,13.00,35.00,'$GNGGA,000718.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D'
36,20.00,32.00,5.00,10.00,36.00,'$GNGGA,000729.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5F'
37,21.00,31.00,5.00,18.00,37.00,'$GNGGA,000740.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
38,23.00,31.00,9.00,12.00,38.00,'$GNGGA,000751.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
39,20.00,33.00,8.00,18.00,39.00,'$GNGGA,000802.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
40,23.00,30.00,5.00,12.00,40.00,'$GNGGA,000813.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
41,23.00,33.00,5.00,14.00,41.00,'$GNGGA,000824.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D'
42,20.00,33.00,2.00,11.00,42.00,'$GNGGA,000835.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D'
43,24.00,30.00,6.00,12.00,43.00,'$GNGGA,000846.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
44,23.00,30.00,2.00,18.00,44.00,'$GNGGA,000857.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
45,20.00,30.00,3.00,18.00,45.00,'$GNGGA,000908.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
46,24.00,31.00,6.00,17.00,46.00,'$GNGGA,000919.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
47,24.00,31.00,2.00,14.00,47.00,'$GNGGA,000930.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
48,21.00,30.00,8.00,17.00,48.00,'$GNGGA,000941.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5F'
49,24.00,30.00,4.00,15.00,49.00,'$GNGGA,000952.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D'
50,22.00,30.00,7.00,17.00,50.00,'$GNGGA,001003.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
51,23.00,34.00,2.00,15.00,51.00,'$GNGGA,001014.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
52,24.00,32.00,2.00,12.00,52.00,'$GNGGA,001025.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
53,23.00,33.00,8.00,10.00,53.00,'$GNGGA,001036.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
54,20.00,32.00,2.00,11.00,54.00,'$GNGGA,001047.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
55,24.00,32.00,6.00,13.00,55.00,'$GNGGA,001058.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5F'
56,21.00,33.00,6.00,10.00,56.00,'$GNGGA,001109.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5A'
57,21.00,30.00,2.00,14.00,57.00,'$GNGGA,001120.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
58,23.00,31.00,6.00,12.00,58.00,'$GNGGA,001131.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
59,21.00,33.00,3.00,10.00,59.00,'$GNGGA,001142.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
60,24.00,33.00,3.00,13.00,60.00,'$GNGGA,001153.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
61,20.00,34.00,7.00,16.00,61.00,'$GNGGA,001204.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
62,21.00,32.00,6.00,15.00,62.00,'$GNGGA,001215.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
63,21.00,31.00,5.00,17.00,63.00,'$GNGGA,001226.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
64,20.00,32.00,2.00,12.00,64.00,'$GNGGA,001237.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
65,21.00,32.00,9.00,11.00,65.00,'$GNGGA,001248.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5C'
66,21.00,31.00,4.00,19.00,66.00,'$GNGGA,001259.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5C'
67,20.00,30.00,8.00,17.00,67.00,'$GNGGA,001310.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
68,21.00,33.00,8.00,15.00,68.00,'$GNGGA,001321.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
69,20.00,34.00,9.00,10.00,69.00,'$GNGGA,001332.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
70,20.00,30.00,3.00,15.00,70.00,'$GNGGA,001343.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
71,24.00,30.00,2.00,15.00,71.00,'$GNGGA,001354.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
72,23.00,34.00,6.00,12.00,72.00,'$GNGGA,001405.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
73,20.00,33.00,2.00,16.00,73.00,'$GNGGA,001416.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
74,20.00,31.00,4.00,16.00,74.00,'$GNGGA,001427.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
75,20.00,30.00,2.00,17.00,75.00,'$GNGGA,001438.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D'
76,21.00,33.00,4.00,12.00,76.00,'$GNGGA,001449.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5B'
77,22.00,33.00,7.00,16.00,77.00,'$GNGGA,001500.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
78,21.00,30.00,8.00,11.00,78.00,'$GNGGA,001511.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
79,20.00,32.00,2.00,10.00,79.00,'$GNGGA,001522.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
80,21.00,34.00,2.00,15.00,80.00,'$GNGGA,001533.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
81,20.00,31.00,6.00,19.00,81.00,'$GNGGA,001544.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
82,23.00,31.00,9.00,17.00,82.00,'$GNGGA,001555.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
83,22.00,31.00,4.00,19.00,83.00,'$GNGGA,001606.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
84,21.00,34.00,8.00,18.00,84.00,'$GNGGA,001617.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
85,23.00,31.00,8.00,10.00,85.00,'$GNGGA,001628.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
86,22.00,31.00,4.00,17.00,86.00,'$GNGGA,001639.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
87,24.00,34.00,3.00,18.00,87.00,'$GNGGA,001650.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
88,23.00,31.00,6.00,14.00,88.00,'$GNGGA,001701.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
89,21.00,31.00,7.00,13.00,89.00,'$GNGGA,001712.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
90,22.00,32.00,5.00,13.00,90.00,'$GNGGA,001723.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
91,22.00,31.00,9.00,10.00,91.00,'$GNGGA,001734.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
92,23.00,33.00,8.00,19.00,92.00,'$GNGGA,001745.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
93,24.00,30.00,5.00,10.00,93.00,'$GNGGA,001756.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
94,24.00,30.00,4.00,18.00,94.00,'$GNGGA,001807.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5A'
95,21.00,33.00,9.00,11.00,95.00,'$GNGGA,001818.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
96,22.00,33.00,9.00,11.00,96.00,'$GNGGA,001829.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
97,20.00,31.00,8.00,11.00,97.00,'$GNGGA,001840.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
98,21.00,33.00,5.00,19.00,98.00,'$GNGGA,001851.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
99,24.00,31.00,8.00,14.00,99.00,'$GNGGA,001902.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
100,20.00,32.00,4.00,11.00,100.00,'$GNGGA,001913.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
101,23.00,31.00,7.00,15.00,101.00,'$GNGGA,001924.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5A'
102,20.00,30.00,8.00,16.00,102.00,'$GNGGA,001935.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5A'
103,21.00,32.00,4.00,11.00,103.00,'$GNGGA,001946.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
104,22.00,30.00,8.00,13.00,104.00,'$GNGGA,001957.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
105,24.00,33.00,8.00,11.00,105.00,'$GNGGA,002008.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
106,23.00,34.00,4.00,11.00,106.00,'$GNGGA,002019.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
107,20.00,32.00,3.00,10.00,107.00,'$GNGGA,002030.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
108,24.00,34.00,7.00,17.00,108.00,'$GNGGA,002041.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
109,21.00,33.00,7.00,15.00,109.00,'$GNGGA,002052.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
110,24.00,30.00,5.00,18.00,110.00,'$GNGGA,002103.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
111,22.00,31.00,4.00,15.00,111.00,'$GNGGA,002114.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
112,24.00,33.00,2.00,13.00,112.00,'$GNGGA,002125.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
113,22.00,31.00,2.00,12.00,113.00,'$GNGGA,002136.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
114,23.00,31.00,6.00,16.00,114.00,'$GNGGA,002147.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
115,22.00,32.00,4.00,14.00,115.00,'$GNGGA,002158.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5A'
116,21.00,33.00,9.00,18.00,116.00,'$GNGGA,002209.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D'
117,23.00,32.00,7.00,19.00,117.00,'$GNGGA,002220.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
118,24.00,32.00,2.00,14.00,118.00,'$GNGGA,002231.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
119,21.00,32.00,9.00,10.00,119.00,'$GNGGA,002242.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
120,20.00,34.00,4.00,10.00,120.00,'$GNGGA,002253.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
121,24.00,32.00,2.00,18.00,121.00,'$GNGGA,002304.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
122,21.00,34.00,9.00,15.00,122.00,'$GNGGA,002315.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
123,24.00,30.00,9.00,18.00,123.00,'$GNGGA,002326.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
124,20.00,31.00,2.00,19.00,124.00,'$GNGGA,002337.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
125,20.00,30.00,2.00,15.00,125.00,'$GNGGA,002348.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
126,22.00,32.00,7.00,10.00,126.00,'$GNGGA,002359.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
127,21.00,34.00,6.00,11.00,127.00,'$GNGGA,002410.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
128,22.00,30.00,6.00,19.00,128.00,'$GNGGA,002421.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
129,24.00,31.00,9.00,16.00,129.00,'$GNGGA,002432.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
130,23.00,34.00,8.00,11.00,130.00,'$GNGGA,002443.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
131,20.00,32.00,9.00,17.00,131.00,'$GNGGA,002454.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
132,23.00,34.00,3.00,18.00,132.00,'$GNGGA,002505.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
133,24.00,32.00,9.00,16.00,133.00,'$GNGGA,002516.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
134,20.00,34.00,4.00,10.00,134.00,'$GNGGA,002527.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
135,21.00,31.00,7.00,10.00,135.00,'$GNGGA,002538.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58'
136,20.00,32.00,4.00,10.00,136.00,'$GNGGA,002549.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
137,23.00,34.00,5.00,15.00,137.00,'$GNGGA,002600.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
138,23.00,34.00,3.00,18.00,138.00,'$GNGGA,002611.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
139,20.00,30.00,9.00,14.00,139.00,'$GNGGA,002622.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
140,22.00,32.00,7.00,11.00,140.00,'$GNGGA,002633.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
141,23.00,33.00,4.00,19.00,141.00,'$GNGGA,002644.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
142,20.00,30.00,3.00,11.00,142.00,'$GNGGA,002655.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
143,20.00,34.00,5.00,16.00,143.00,'$GNGGA,002706.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
144,24.00,32.00,8.00,17.00,144.00,'$GNGGA,002717.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
145,24.00,33.00,7.00,11.00,145.00,'$GNGGA,002728.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5B'
146,21.00,33.00,8.00,14.00,146.00,'$GNGGA,002739.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5B'
147,21.00,31.00,5.00,13.00,147.00,'$GNGGA,002750.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
148,22.00,34.00,5.00,12.00,148.00,'$GNGGA,002801.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5F'
149,24.00,34.00,6.00,13.00,149.00,'$GNGGA,002812.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D'
150,24.00,30.00,2.00,13.00,150.00,'$GNGGA,002823.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5F'
151,21.00,33.00,8.00,11.00,151.00,'$GNGGA,002834.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*59'
152,20.00,30.00,7.00,19.00,152.00,'$GNGGA,002845.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5F'
153,22.00,32.00,3.00,18.00,153.00,'$GNGGA,002856.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D'
154,22.00,30.00,4.00,17.00,154.00,'$GNGGA,002907.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58'
155,20.00,31.00,2.00,13.00,155.00,'$GNGGA,002918.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
156,21.00,31.00,5.00,19.00,156.00,'$GNGGA,002929.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
157,24.00,34.00,9.00,11.00,157.00,'$GNGGA,002940.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5B'
158,23.00,33.00,6.00,11.00,158.00,'$GNGGA,002951.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5B'
159,20.00,30.00,9.00,13.00,159.00,'$GNGGA,003002.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
160,24.00,32.00,6.00,10.00,160.00,'$GNGGA,003013.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
161,24.00,33.00,5.00,19.00,161.00,'$GNGGA,003024.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
162,20.00,33.00,4.00,18.00,162.00,'$GNGGA,003035.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
163,23.00,30.00,8.00,12.00,163.00,'$GNGGA,003046.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
164,23.00,30.00,9.00,12.00,164.00,'$GNGGA,003057.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
165,23.00,30.00,4.00,10.00,165.00,'$GNGGA,003108.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
166,24.00,32.00,9.00,19.00,166.00,'$GNGGA,003119.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5E'
167,21.00,31.00,7.00,18.00,167.00,'$GNGGA,003130.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*55'
168,21.00,30.00,6.00,11.00,168.00,'$GNGGA,003141.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*53'
169,22.00,30.00,5.00,15.00,169.00,'$GNGGA,003152.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*51'
170,24.00,31.00,6.00,18.00,170.00,'$GNGGA,003203.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
171,20.00,34.00,4.00,12.00,171.00,'$GNGGA,003214.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
172,23.00,30.00,7.00,19.00,172.00,'$GNGGA,003225.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
173,20.00,34.00,6.00,19.00,173.00,'$GNGGA,003236.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
174,21.00,32.00,3.00,10.00,174.00,'$GNGGA,003247.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
175,20.00,30.00,4.00,16.00,175.00,'$GNGGA,003258.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58'
176,24.00,30.00,3.00,14.00,176.00,'$GNGGA,003309.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*5D'
177,21.00,30.00,7.00,17.00,177.00,'$GNGGA,003320.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
178,24.00,33.00,2.00,16.00,178.00,'$GNGGA,003331.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
179,22.00,33.00,4.00,17.00,179.00,'$GNGGA,003342.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
180,20.00,31.00,2.00,17.00,180.00,'$GNGGA,003353.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*52'
181,23.00,31.00,9.00,17.00,181.00,'$GNGGA,003404.263,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*57'
182,22.00,33.00,6.00,17.00,182.00,'$GNGGA,003415.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
183,22.00,33.00,3.00,18.00,183.00,'$GNGGA,003426.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
184,23.00,31.00,2.00,10.00,184.00,'$GNGGA,003437.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*50'
185,20.00,30.00,8.00,13.00,185.00,'$GNGGA,003448.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58'
186,22.00,32.00,2.00,18.00,186.00,'$GNGGA,003459.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*58'
187,24.00,31.00,2.00,16.00,187.00,'$GNGGA,003510.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*54'
188,20.00,32.00,2.00,13.00,188.00,'$GNGGA,003521.264,9000.0000,N,00000.0000,E,0,0,,137.0,M,13.0,M,,*56'
